,Fecha,Hora,Producto,Accion,Modulo,Usuario,Host
101,05/05/2022,18:21:54,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00002
102,05/05/2022,18:54:54,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00005
103,05/05/2022,18:54:54,adskflex,IN,64801INVPROSA_F,upm,etsidi00005
104,05/05/2022,19:22:38,adskflex,IN,64801INVPROSA_F,UPM,upm00034
105,05/05/2022,19:22:38,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00034
106,05/05/2022,19:36:06,adskflex,OUT,64801INVPROSA_F,UPM,upm00059
107,05/05/2022,19:36:06,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00059
108,05/05/2022,19:37:13,adskflex,IN,64801INVPROSA_F,UPM,upm00059
109,05/05/2022,19:37:13,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00059
110,05/05/2022,19:40:49,adskflex,IN,64801INVPROSA_F,UPM,upm00014
111,05/05/2022,19:40:49,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00014
112,05/05/2022,19:41:35,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00059
113,05/05/2022,19:41:35,adskflex,IN,64801INVPROSA_F,UPM,upm00059
114,05/05/2022,19:50:21,adskflex,IN,64300ACD_F,UPM,upm00028
115,05/05/2022,19:50:21,adskflex,IN,87545ACD_2022_0F,UPM,upm00028
116,05/05/2022,19:52:10,adskflex,OUT,64801INVPROSA_F,UPM,upm00208
117,05/05/2022,19:52:10,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00208
118,05/05/2022,19:54:55,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00208
119,05/05/2022,19:54:55,adskflex,IN,64801INVPROSA_F,UPM,upm00208
120,05/05/2022,19:55:29,adskflex,OUT,64801INVPROSA_F,UPM,upm00208
121,05/05/2022,19:55:29,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00208
122,05/05/2022,19:55:35,adskflex,OUT,64801INVPROSA_F,UPM,upm00059
123,05/05/2022,19:55:35,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00059
124,05/05/2022,20:01:44,adskflex,IN,64300ACD_F,UPM,upm00050
125,05/05/2022,20:01:44,adskflex,IN,87545ACD_2022_0F,UPM,upm00050
126,05/05/2022,20:28:08,adskflex,OUT,64801INVPROSA_F,UPM,upm00295
127,05/05/2022,20:28:08,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00295
128,05/05/2022,20:34:22,adskflex,OUT,64300ACD_F,UPM,upm00391
129,05/05/2022,20:34:22,adskflex,OUT,87545ACD_2022_0F,UPM,upm00391
130,05/05/2022,20:36:42,adskflex,OUT,64801INVPROSA_F,UPM,upm00295
131,05/05/2022,20:36:42,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00295
132,05/05/2022,20:37:01,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00295
133,05/05/2022,20:37:01,adskflex,IN,64801INVPROSA_F,UPM,upm00295
134,05/05/2022,20:37:07,adskflex,OUT,64801INVPROSA_F,upm,etsidi00019
135,05/05/2022,20:37:07,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00019
136,05/05/2022,20:46:10,adskflex,OUT,64801INVPROSA_F,upm,etsidi00020
137,05/05/2022,20:46:10,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00020
138,05/05/2022,20:49:25,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00019
139,05/05/2022,20:49:25,adskflex,IN,64801INVPROSA_F,upm,etsidi00019
140,05/05/2022,20:51:59,adskflex,OUT,64801INVPROSA_F,upm,etsidi00019
141,05/05/2022,20:51:59,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00019
142,05/05/2022,20:55:30,adskflex,OUT,64801INVPROSA_F,UPM,upm00393
143,05/05/2022,20:55:30,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00393
144,05/05/2022,20:57:00,adskflex,IN,64300ACD_F,UPM,upm00020
145,05/05/2022,20:57:00,adskflex,IN,87545ACD_2022_0F,UPM,upm00020
146,05/05/2022,20:57:38,adskflex,OUT,64801INVPROSA_F,upm,etsidi00019
147,05/05/2022,20:57:38,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00019
148,05/05/2022,20:59:52,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00019
149,05/05/2022,20:59:52,adskflex,IN,64801INVPROSA_F,upm,etsidi00019
150,05/05/2022,21:01:56,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00019
151,05/05/2022,21:01:56,adskflex,IN,64801INVPROSA_F,upm,etsidi00019
152,05/05/2022,21:02:47,adskflex,OUT,64801INVPROSA_F,upm,etsidi00019
153,05/05/2022,21:02:47,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00019
154,05/05/2022,21:11:22,adskflex,OUT,64801INVPROSA_F,upm,etsidi00022
155,05/05/2022,21:11:22,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00022
156,05/05/2022,21:16:49,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00019
157,05/05/2022,21:16:49,adskflex,IN,64801INVPROSA_F,upm,etsidi00019
158,05/05/2022,21:23:21,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00022
159,05/05/2022,21:23:21,adskflex,IN,64801INVPROSA_F,upm,etsidi00022
160,05/05/2022,21:24:59,adskflex,OUT,64801INVPROSA_F,upm,etsidi00019
161,05/05/2022,21:24:59,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00019
162,05/05/2022,21:28:56,adskflex,OUT,64801INVPROSA_F,UPM,upm00401
163,05/05/2022,21:28:56,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00401
164,05/05/2022,21:29:58,adskflex,OUT,64801INVPROSA_F,upm,etsidi00024
165,05/05/2022,21:29:58,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00024
